WigleWifi-1.4,appRelease=2.25,model=ONEPLUS A3010,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3010_28_171012,board=QC_Reference_Phone,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8c:0c:90:30:05:58,Ariel_University,[ESS],2017-11-01 14:24:03,11,-71,32.10432911,35.20458677,645,10.618999481201172,WIFI
24:c9:a1:33:3d:08,Ariel_University,[ESS],2017-11-01 14:24:03,6,-90,32.10432911,35.20458677,645,10.618999481201172,WIFI
42503_6701_4464097,Rami Levy,HSPA;il,2017-11-01 14:24:03,0,-77,32.10432911,35.20458677,645,10.618999481201172,GSM
24:c9:a1:76:5c:33,island-365C30,[WPA2-PSK-CCMP][ESS],2017-11-01 14:24:05,12,-85,32.10432473,35.2045929,641,7.585000038146973,WIFI
42503_6701_4464097,Rami Levy,HSPA;il,2017-11-01 14:24:26,0,-71,32.1043617,35.20456408,640,4.550999641418457,GSM
24:c9:a1:36:56:f8,Ariel_University,[ESS],2017-11-01 14:25:02,6,-84,32.10436408,35.20456039,640,4.550999641418457,WIFI
24:c9:a1:33:3d:08,Ariel_University,[ESS],2017-11-01 14:25:02,6,-84,32.10436408,35.20456039,640,4.550999641418457,WIFI
24:c9:a1:76:5c:33,island-365C30,[WPA2-PSK-CCMP][ESS],2017-11-01 14:25:26,12,-80,32.10436268,35.20456102,640,13.652999877929688,WIFI
24:c9:a1:33:3d:08,Ariel_University,[ESS],2017-11-01 14:26:02,6,-76,32.10436063,35.20456187,640,13.652999877929688,WIFI
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-11-01 14:27:36,1,-80,32.1043398,35.20452306,642,16.687000274658203,WIFI
24:c9:a1:36:56:e8,Ariel_University,[ESS],2017-11-01 14:27:52,6,-88,32.10439696,35.20460419,648,13.652999877929688,WIFI
8c:0c:90:ae:f0:d3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:29:28,1,-83,32.10437791,35.20460156,647,13.652999877929688,WIFI
24:c9:a1:36:56:e8,Ariel_University,[ESS],2017-11-01 14:32:18,6,-80,32.10437635,35.20460505,638,13.652999877929688,WIFI
8c:0c:90:30:05:58,Ariel_University,[ESS],2017-11-01 14:32:40,11,-59,32.1043647,35.20460212,638,4.550999641418457,WIFI
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-11-01 14:32:40,1,-74,32.1043647,35.20460212,638,4.550999641418457,WIFI
8c:0c:90:ae:f0:d3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:32:52,1,-72,32.10444352,35.20453609,650,4.550999641418457,WIFI
d8:38:0d:05:1a:b9,IP-COM_051AB8,[ESS],2017-11-01 14:32:52,4,-81,32.10444352,35.20453609,650,4.550999641418457,WIFI
24:c9:a1:35:aa:08,Ariel_University,[ESS],2017-11-01 14:32:52,11,-87,32.10444352,35.20453609,650,4.550999641418457,WIFI
24:c9:a1:36:55:f8,Ariel_University,[ESS],2017-11-01 14:32:54,11,-72,32.10448447,35.20453355,651,4.550999641418457,WIFI
24:c9:a1:36:2f:38,Ariel_University,[ESS],2017-11-01 14:32:54,1,-86,32.10448447,35.20453355,651,4.550999641418457,WIFI
a0:ab:1b:63:40:be,not_your_wifi,[WPA2-PSK-CCMP][ESS],2017-11-01 14:32:54,2,-96,32.10448447,35.20453355,651,4.550999641418457,WIFI
8c:0c:90:2f:ca:48,Ariel_University,[ESS],2017-11-01 14:32:54,11,-83,32.10448447,35.20453355,651,4.550999641418457,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:32:54,0,-71,32.10448447,35.20453355,651,4.550999641418457,GSM
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-11-01 14:32:58,6,-82,32.10455633,35.20451013,652,4.550999641418457,WIFI
8c:0c:90:2e:f0:d8,Ariel_University,[ESS],2017-11-01 14:33:03,1,-66,32.10461132,35.2045443,652,4.550999641418457,WIFI
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-11-01 14:33:03,6,-71,32.10461132,35.2045443,652,4.550999641418457,WIFI
6c:aa:b3:08:24:98,Ariel_University,[ESS],2017-11-01 14:33:03,6,-82,32.10461132,35.2045443,652,4.550999641418457,WIFI
24:c9:a1:35:a5:e8,Ariel_University,[ESS],2017-11-01 14:33:11,6,-64,32.10463178,35.20465976,652,4.550999641418457,WIFI
8c:0c:90:ae:e3:a3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:23,6,-85,32.10464593,35.20482136,654,4.550999641418457,WIFI
8c:0c:90:6e:e3:a3,island-2EE3A0,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:23,6,-88,32.10464593,35.20482136,654,4.550999641418457,WIFI
24:c9:a1:35:d3:78,Ariel_University,[ESS],2017-11-01 14:33:23,1,-67,32.10464593,35.20482136,654,4.550999641418457,WIFI
8c:0c:90:2d:75:b8,Ariel_University,[ESS],2017-11-01 14:33:23,4,-82,32.10464593,35.20482136,654,4.550999641418457,WIFI
24:c9:a1:36:45:28,Ariel_University,[ESS],2017-11-01 14:33:23,1,-85,32.10464593,35.20482136,654,4.550999641418457,WIFI
24:c9:a1:36:45:28,Ariel_University,[ESS],2017-11-01 14:33:33,1,-76,32.10462687,35.20497135,655,4.550999641418457,WIFI
04:a1:51:13:2f:bb,bezeq,[WPA2-PSK-CCMP][WPS][ESS],2017-11-01 14:33:33,11,-80,32.10462687,35.20497135,655,4.550999641418457,WIFI
20:0c:c8:0c:10:67,lior,[WPA2-PSK-CCMP][WPS][ESS],2017-11-01 14:33:33,11,-85,32.10462687,35.20497135,655,4.550999641418457,WIFI
8c:0c:90:2f:2b:98,Ariel_University,[ESS],2017-11-01 14:33:33,6,-75,32.10462687,35.20497135,655,4.550999641418457,WIFI
8c:0c:90:ae:e3:a3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:43,6,-74,32.10466981,35.20514147,654,4.550999641418457,WIFI
8c:0c:90:6e:e3:a3,island-2EE3A0,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:43,6,-68,32.10466981,35.20514147,654,4.550999641418457,WIFI
8c:0c:90:2d:75:b8,Ariel_University,[ESS],2017-11-01 14:33:43,4,-76,32.10466981,35.20514147,654,4.550999641418457,WIFI
8c:0c:90:2f:2b:98,Ariel_University,[ESS],2017-11-01 14:33:43,6,-68,32.10466981,35.20514147,654,4.550999641418457,WIFI
24:c9:a1:35:d3:68,Ariel_University,[ESS],2017-11-01 14:33:43,11,-62,32.10466981,35.20514147,654,4.550999641418457,WIFI
14:ae:db:39:f8:8d,ariel,[WPA2-PSK-CCMP][ESS],2017-11-01 14:33:50,6,-83,32.10469115,35.20525406,654,4.550999641418457,WIFI
8c:0c:90:2f:35:38,Ariel_University,[ESS],2017-11-01 14:33:50,1,-67,32.10469115,35.20525406,654,4.550999641418457,WIFI
24:c9:a1:33:34:68,Ariel_University,[ESS],2017-11-01 14:33:54,11,-63,32.10468691,35.20531865,654,4.550999641418457,WIFI
24:c9:a1:36:51:b8,Ariel_University,[ESS],2017-11-01 14:33:54,2,-89,32.10468691,35.20531865,654,4.550999641418457,WIFI
24:c9:a1:35:a6:98,Ariel_University,[ESS],2017-11-01 14:34:32,6,-74,32.10468337,35.20536971,655,4.550999641418457,WIFI
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2017-11-01 14:34:32,6,-85,32.10468337,35.20536971,655,4.550999641418457,WIFI
24:c9:a1:35:a6:98,Ariel_University,[ESS],2017-11-01 14:34:43,6,-67,32.10469073,35.20552775,654,4.550999641418457,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:34:44,0,-77,32.10469153,35.20554491,654,4.550999641418457,GSM
a0:4f:d4:2b:11:c2,israela_5,[WPA2-PSK-CCMP][ESS],2017-11-01 14:34:54,52,-82,32.10470213,35.20571573,653,4.550999641418457,WIFI
00:ec:0a:cd:e9:32,Redmi,[WPA2-PSK-CCMP][ESS],2017-11-01 14:34:54,11,-81,32.10470213,35.20571573,653,4.550999641418457,WIFI
8c:0c:90:2f:cc:38,Ariel_University,[ESS],2017-11-01 14:34:54,11,-67,32.10470213,35.20571573,653,4.550999641418457,WIFI
8c:0c:90:2f:d5:68,Ariel_University,[ESS],2017-11-01 14:35:00,6,-78,32.1046803,35.20580453,654,4.550999641418457,WIFI
8c:0c:90:2f:d5:68,Ariel_University,[ESS],2017-11-01 14:35:06,6,-73,32.10468152,35.20590906,655,4.550999641418457,WIFI
24:c9:a1:33:3b:68,Ariel_University,[ESS],2017-11-01 14:35:06,6,-85,32.10468152,35.20590906,655,4.550999641418457,WIFI
e0:10:7f:1e:31:58,Ariel_University,[ESS],2017-11-01 14:35:06,1,-88,32.10468152,35.20590906,655,4.550999641418457,WIFI
e0:10:7f:1a:89:c8,Ariel_University,[ESS],2017-11-01 14:35:06,11,-88,32.10468152,35.20590906,655,4.550999641418457,WIFI
24:c9:a1:35:aa:b8,Ariel_University,[ESS],2017-11-01 14:35:18,10,-77,32.10469539,35.20612805,656,4.550999641418457,WIFI
1c:b9:c4:16:cc:a8,Ariel_University,[ESS],2017-11-01 14:35:18,6,-82,32.10469539,35.20612805,656,4.550999641418457,WIFI
f0:b0:52:3e:d1:38,Ariel_University,[ESS],2017-11-01 14:35:18,6,-86,32.10469539,35.20612805,656,4.550999641418457,WIFI
f0:b0:52:3e:c8:58,Ariel_University,[ESS],2017-11-01 14:35:18,6,-87,32.10469539,35.20612805,656,4.550999641418457,WIFI
8c:0c:90:b0:04:c3,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:35:20,2,-76,32.10469631,35.2061643,657,4.550999641418457,WIFI
8c:0c:90:30:04:c8,Ariel_University,[ESS],2017-11-01 14:35:20,2,-75,32.10469631,35.2061643,657,4.550999641418457,WIFI
f0:b0:52:3e:c7:b8,Ariel_University,[ESS],2017-11-01 14:35:20,1,-83,32.10469631,35.2061643,657,4.550999641418457,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],2017-11-01 14:35:20,11,-87,32.10469631,35.2061643,657,4.550999641418457,WIFI
f0:b0:52:3e:c8:58,Ariel_University,[ESS],2017-11-01 14:35:35,6,-80,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:aa:dc,Ariel_University,[ESS],2017-11-01 14:35:35,36,-81,32.10468739,35.20644914,663,7.585000038146973,WIFI
f0:b0:52:3e:c8:5c,Ariel_University,[ESS],2017-11-01 14:35:35,44,-84,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:a2:4c,Ariel_University,[ESS],2017-11-01 14:35:35,36,-88,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:95:8c,Ariel_University,[ESS],2017-11-01 14:35:35,52,-90,32.10468739,35.20644914,663,7.585000038146973,WIFI
f0:b0:52:3e:cc:1c,Ariel_University,[ESS],2017-11-01 14:35:35,36,-90,32.10468739,35.20644914,663,7.585000038146973,WIFI
1c:b9:c4:15:33:dc,Ariel_University,[ESS],2017-11-01 14:35:35,36,-91,32.10468739,35.20644914,663,7.585000038146973,WIFI
ec:8c:a2:08:aa:d8,Ariel_University,[ESS],2017-11-01 14:35:35,6,-84,32.10468739,35.20644914,663,7.585000038146973,WIFI
1c:b9:c4:16:cc:ac,Ariel_University,[ESS],2017-11-01 14:35:46,44,-82,32.10461387,35.20661521,667,4.550999641418457,WIFI
f0:b0:52:3e:c8:ec,Ariel_University,[ESS],2017-11-01 14:35:46,52,-88,32.10461387,35.20661521,667,4.550999641418457,WIFI
ec:8c:a2:08:a2:48,Ariel_University,[ESS],2017-11-01 14:35:46,6,-82,32.10461387,35.20661521,667,4.550999641418457,WIFI
f0:b0:52:3e:c7:a8,Ariel_University,[ESS],2017-11-01 14:35:46,11,-89,32.10461387,35.20661521,667,4.550999641418457,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:35:46,0,-79,32.10461387,35.20661521,667,4.550999641418457,GSM
ec:8c:a2:08:a2:4c,Ariel_University,[ESS],2017-11-01 14:35:55,36,-83,32.10448628,35.20662977,669,4.550999641418457,WIFI
ec:8c:a2:08:a2:48,Ariel_University,[ESS],2017-11-01 14:35:55,6,-72,32.10448628,35.20662977,669,4.550999641418457,WIFI
f0:b0:52:3e:d0:98,Ariel_University,[ESS],2017-11-01 14:35:55,1,-77,32.10448628,35.20662977,669,4.550999641418457,WIFI
1c:b9:c4:15:44:3c,Ariel_University,[ESS],2017-11-01 14:35:55,36,-87,32.10448628,35.20662977,669,4.550999641418457,WIFI
1c:b9:c4:15:44:38,Ariel_University,[ESS],2017-11-01 14:35:55,11,-85,32.10448628,35.20662977,669,4.550999641418457,WIFI
1c:b9:c4:15:41:f8,Ariel_University,[ESS],2017-11-01 14:35:55,1,-88,32.10448628,35.20662977,669,4.550999641418457,WIFI
f0:b0:52:3e:d8:98,Ariel_University,[ESS],2017-11-01 14:35:55,1,-89,32.10448628,35.20662977,669,4.550999641418457,WIFI
ec:8c:a2:08:a2:4c,Ariel_University,[ESS],2017-11-01 14:36:05,36,-71,32.1043796,35.20672806,671,4.550999641418457,WIFI
f0:b0:52:3e:c7:a8,Ariel_University,[ESS],2017-11-01 14:36:05,11,-80,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:15:44:3c,Ariel_University,[ESS],2017-11-01 14:36:05,36,-79,32.1043796,35.20672806,671,4.550999641418457,WIFI
f0:b0:52:be:c7:a7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:05,52,-78,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:88:95:87,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:05,52,-87,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:95:41:f7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:05,44,-87,32.1043796,35.20672806,671,4.550999641418457,WIFI
f0:b0:52:3e:c7:ac,Ariel_University,[ESS],2017-11-01 14:36:05,52,-75,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:16:ed:fc,Ariel_University,[ESS],2017-11-01 14:36:05,36,-85,32.1043796,35.20672806,671,4.550999641418457,WIFI
8c:0c:90:2f:cb:d8,Ariel_University,[ESS],2017-11-01 14:36:05,6,-78,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:09:8c:6c,Ariel_University,[ESS],2017-11-01 14:36:05,36,-88,32.1043796,35.20672806,671,4.550999641418457,WIFI
1c:b9:c4:15:41:fc,Ariel_University,[ESS],2017-11-01 14:36:05,44,-90,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:08:95:88,Ariel_University,[ESS],2017-11-01 14:36:05,1,-85,32.1043796,35.20672806,671,4.550999641418457,WIFI
f8:d1:11:77:77:d6,masa2,[ESS],2017-11-01 14:36:05,6,-89,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:09:8c:68,Ariel_University,[ESS],2017-11-01 14:36:05,1,-90,32.1043796,35.20672806,671,4.550999641418457,WIFI
ec:8c:a2:08:95:8c,Ariel_University,[ESS],2017-11-01 14:36:16,52,-82,32.1043794,35.20688328,671,4.550999641418457,WIFI
1c:b9:c4:15:41:f8,Ariel_University,[ESS],2017-11-01 14:36:16,1,-79,32.1043794,35.20688328,671,4.550999641418457,WIFI
ec:8c:a2:88:95:87,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:16,52,-78,32.1043794,35.20688328,671,4.550999641418457,WIFI
ec:8c:a2:08:95:88,Ariel_University,[ESS],2017-11-01 14:36:16,1,-78,32.1043794,35.20688328,671,4.550999641418457,WIFI
ec:8c:a2:09:8c:68,Ariel_University,[ESS],2017-11-01 14:36:16,1,-82,32.1043794,35.20688328,671,4.550999641418457,WIFI
1c:b9:c4:15:fd:68,Ariel_University,[ESS],2017-11-01 14:36:16,11,-80,32.1043794,35.20688328,671,4.550999641418457,WIFI
1c:b9:c4:16:ed:f8,Ariel_University,[ESS],2017-11-01 14:36:16,1,-80,32.1043794,35.20688328,671,4.550999641418457,WIFI
1c:b9:c4:96:cc:a7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:25,44,-88,32.10424312,35.20691081,670,4.550999641418457,WIFI
1c:b9:c4:55:44:73,island-154470,[WPA2-PSK-CCMP][ESS],2017-11-01 14:36:37,8,-84,32.10406198,35.20689818,670,6.067999839782715,WIFI
1c:b9:c4:16:ec:58,Ariel_University,[ESS],2017-11-01 14:36:37,6,-88,32.10406198,35.20689818,670,6.067999839782715,WIFI
1c:b9:c4:16:06:3c,Ariel_University,[ESS],2017-11-01 14:36:41,36,-90,32.10402433,35.20681703,669,7.585000038146973,WIFI
1c:b9:c4:15:36:8c,Ariel_University,[ESS],2017-11-01 14:36:50,36,-89,32.1039271,35.2067212,669,6.067999839782715,WIFI
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-11-01 14:36:50,5,-73,32.1039271,35.2067212,669,6.067999839782715,WIFI
00:25:86:cc:07:b2,KCG_54,[ESS],2017-11-01 14:36:50,2,-80,32.1039271,35.2067212,669,6.067999839782715,WIFI
ec:8c:a2:08:a3:28,Ariel_University,[ESS],2017-11-01 14:36:50,11,-88,32.1039271,35.2067212,669,6.067999839782715,WIFI
1c:b9:c4:16:ec:5c,Ariel_University,[ESS],2017-11-01 14:36:50,44,-85,32.1039271,35.2067212,669,6.067999839782715,WIFI
ec:8c:a2:08:a1:38,Ariel_University,[ESS],2017-11-01 14:36:50,1,-83,32.1039271,35.2067212,669,6.067999839782715,WIFI
30:e1:71:0d:e0:57,DIRECT-56-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-01 14:37:17,6,-93,32.10369894,35.20696385,669,4.550999641418457,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-01 14:37:17,48,-83,32.10369894,35.20696385,669,4.550999641418457,WIFI
ec:8c:a2:08:a3:bc,Ariel_University,[ESS],2017-11-01 14:37:17,52,-91,32.10369894,35.20696385,669,4.550999641418457,WIFI
ec:8c:a2:88:a3:b7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:37:20,52,-87,32.1036534,35.20696595,669,7.585000038146973,WIFI
ec:8c:a2:08:a3:b8,Ariel_University,[ESS],2017-11-01 14:37:20,11,-85,32.1036534,35.20696595,669,7.585000038146973,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:37:25,0,-83,32.10360485,35.207005,669,6.067999839782715,GSM
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-01 14:37:35,48,-74,32.10363559,35.20718259,670,4.550999641418457,WIFI
ec:8c:a2:08:a3:bc,Ariel_University,[ESS],2017-11-01 14:37:35,52,-84,32.10363559,35.20718259,670,4.550999641418457,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-11-01 14:37:35,1,-77,32.10363559,35.20718259,670,4.550999641418457,WIFI
ec:8c:a2:8a:11:97,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:37:45,44,-89,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-11-01 14:37:45,11,-79,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:09:84:fc,Ariel_University,[ESS],2017-11-01 14:37:45,36,-87,32.1035762,35.20731852,671,6.067999839782715,WIFI
1c:b9:c4:15:36:7c,Ariel_University,[ESS],2017-11-01 14:37:45,36,-89,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:09:86:4c,Ariel_University,[ESS],2017-11-01 14:37:45,44,-91,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:08:ab:dc,Ariel_University,[ESS],2017-11-01 14:37:45,36,-91,32.1035762,35.20731852,671,6.067999839782715,WIFI
1c:b9:c4:16:28:88,Ariel_University,[ESS],2017-11-01 14:37:45,11,-87,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:0a:11:98,Ariel_University,[ESS],2017-11-01 14:37:45,11,-88,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-11-01 14:37:53,1,-65,32.10350121,35.20743708,672,6.067999839782715,WIFI
ec:8c:a2:09:8e:dc,Ariel_University,[ESS],2017-11-01 14:37:53,44,-86,32.10350121,35.20743708,672,6.067999839782715,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-11-01 14:37:53,1,-81,32.10350121,35.20743708,672,6.067999839782715,WIFI
a0:8c:fd:0a:14:5b,DIRECT-F1-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-01 14:38:05,6,-91,32.10354376,35.20762713,671,9.101999282836914,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-11-01 14:38:15,44,-89,32.10349384,35.20770535,678,6.067999839782715,WIFI
00:25:86:cb:fd:f8,,[ESS],2017-11-01 14:38:15,9,-86,32.10349384,35.20770535,678,6.067999839782715,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-01 14:38:23,48,-68,32.10347322,35.2077653,686,6.067999839782715,WIFI
ec:8c:a2:09:8c:3c,Ariel_University,[ESS],2017-11-01 14:38:23,52,-90,32.10347322,35.2077653,686,6.067999839782715,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],2017-11-01 14:38:23,11,-91,32.10347322,35.2077653,686,6.067999839782715,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:38:38,48,-75,32.10346646,35.20799775,685,6.067999839782715,WIFI
ec:8c:a2:09:0c:c8,Ariel_University,[ESS],2017-11-01 14:38:38,1,-78,32.10346646,35.20799775,685,6.067999839782715,WIFI
ec:8c:a2:09:03:3c,Ariel_University,[ESS],2017-11-01 14:38:38,44,-89,32.10346646,35.20799775,685,6.067999839782715,WIFI
ec:8c:a2:09:03:38,Ariel_University,[ESS],2017-11-01 14:38:38,1,-87,32.10346646,35.20799775,685,6.067999839782715,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:38:39,0,-83,32.10346783,35.2080131,684,6.067999839782715,GSM
ec:8c:a2:88:78:37,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:38:45,56,-82,32.10347197,35.20808082,683,4.550999641418457,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-01 14:38:45,56,-83,32.10347197,35.20808082,683,4.550999641418457,WIFI
00:27:22:f3:bb:3a,,[ESS],2017-11-01 14:38:45,6,-76,32.10347197,35.20808082,683,4.550999641418457,WIFI
ec:8c:a2:88:78:37,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:38:53,56,-75,32.10343662,35.20820496,683,4.550999641418457,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-01 14:38:53,56,-74,32.10343662,35.20820496,683,4.550999641418457,WIFI
ec:8c:a2:08:78:3c,Ariel_University,[ESS],2017-11-01 14:39:05,56,-57,32.10341646,35.20837504,684,4.550999641418457,WIFI
ec:8c:a2:08:94:1c,Ariel_University,[ESS],2017-11-01 14:39:05,40,-80,32.10341646,35.20837504,684,4.550999641418457,WIFI
42503_6701_4464097,Rami Levy,HSPA;il,2017-11-01 14:39:08,0,-95,32.1034173,35.20843745,688,4.550999641418457,GSM
