01/12/2017 10:56,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,1,18:d6:c7:fb:1c:0e,Oberyn Martell,8,-89,,,,,,,,,,,,,,,,
01/12/2017 10:56,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,1,e4:6f:13:73:0a:c2,simon,8,-90,,,,,,,,,,,,,,,,
01/12/2017 10:57,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,1,aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,1,-94,,,,,,,,,,,,,,,,
01/12/2017 10:57,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,2,f8:ab:05:46:de:55,Levy,10,-85,c8:d3:ff:57:60:f5,DIRECT-F4-HP DeskJet 3830 series,1,-93,,,,,,,,,,,,
01/12/2017 10:57,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,1,ec:8c:a2:09:dd:48,LRWN,11,-59,,,,,,,,,,,,,,,,
01/12/2017 10:57,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,3,20:0c:c8:2b:2a:14,nina,11,-67,80:1f:02:36:04:d0,arama,11,-76,74:da:38:a9:1c:df,  InnovationEndeavors,2,-89,,,,,,,,
01/12/2017 10:57,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,2,80:1f:02:36:04:d0,arama,11,-67,e0:ce:c3:23:12:30,HOTFiber arama,1,-76,,,,,,,,,,,,
01/12/2017 10:57,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,5,00:30:4f:91:38:b3,hilda,6,-73,52:0d:7f:83:6c:ff,Bezeq Free 836CFE,11,-90,10:0d:7f:83:6c:fe,NETGEAR_DGN2200,11,-93,90:8d:78:54:d9:69,Ab,10,-95,c0:ff:d4:7b:82:30,Candan,1,-96
01/12/2017 10:57,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,3,48:ee:0c:3b:ac:5a,kawasaki,11,-75,62:ee:0c:3b:ac:5b,Bezeq Free,11,-75,c0:ff:d4:7b:82:30,Candan,1,-90,,,,,,,,
01/12/2017 10:58,model=Lenovo PB2-690Y_device=PB2PRO,???,???,???,1,d0:d4:12:64:05:12,shmulik,11,-80,,,,,,,,,,,,,,,,
